,year,Desiertos,DesiertosModerados,NoDesiertos,SinInformacion,state
0,2020,5287827.0,8810486.0,17931593.0,573192.0,Venezuela
1,2022,7025427.0,8081085.0,18203650.0,47689.0,Venezuela
