state,idState,year2020,year2022
Amazonas,amazonas,9.224073772875357,26.968663667959643
Anzoátegui,anzoategui,17.15661238283377,9.557003132356447
Apure,apure,23.255223861661232,50.48770471155271
Aragua,aragua,42.00690001447444,24.40813402575378
Barinas,barinas,3.2511046306574936,3.24747769456597
Bolívar,bolivar,2.9119587192093763,5.681772083128146
Carabobo,carabobo,11.997676504253118,6.427923962157312
Cojedes,cojedes,88.47478177172378,60.84245459979799
Delta Amacuro,delta-amacuro,3.8002357324816547,38.99581209031318
Distrito Capital,distrito-capital,0.0,0.0
Falcón,falcon,2.4850321856027278,0.0
Guárico,guarico,0.0,3.2703917093530066
Lara,lara,8.572675425609942,20.611628088164593
Miranda,miranda,22.35403796425778,2.9836641055189697
Monagas,monagas,8.973492892249272,17.117949195000566
Mérida,merida,6.920017925796637,2.57436788441315
Nueva Esparta,nueva-esparta,28.74785191169996,13.563788699417586
Portuguesa,portuguesa,13.435469302698769,26.27465226848551
Sucre,sucre,13.263114348374321,59.13009407831103
Trujillo,trujillo,26.828221590231777,3.947980946791776
Táchira,tachira,29.692366140107314,62.13649127656272
Vargas,vargas,0.0,65.65072205186827
Yaracuy,yaracuy,21.03865744891386,42.5124017989847
Zulia,zulia,21.287907344650364,47.12738455156148
